RESULT_COUNT: 11308,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 2,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-03-30,11.67,11.74,11.61,11.68,27973847.0,0.0,1.0,11.67,11.74,11.61,11.68,27973847.0
2017-03-29,11.73,11.76,11.64,11.68,35795737.0,0.0,1.0,11.73,11.76,11.64,11.68,35795737.0
2017-03-28,11.51,11.8,11.48,11.65,57621015.0,0.0,1.0,11.51,11.8,11.48,11.65,57621015.0
2017-03-27,11.51,11.55,11.41,11.46,57713419.0,0.0,1.0,11.51,11.55,11.41,11.46,57713419.0
2017-03-24,11.66,11.765,11.55,11.62,43769957.0,0.0,1.0,11.66,11.765,11.55,11.62,43769957.0
2017-03-23,11.57,11.75,11.5,11.67,71209260.0,0.0,1.0,11.57,11.75,11.5,11.67,71209260.0
2017-03-22,11.78,11.83,11.62,11.77,71107861.0,0.0,1.0,11.78,11.83,11.62,11.77,71107861.0
2017-03-21,12.3,12.32,11.7,11.72,101559879.0,0.0,1.0,12.3,12.32,11.7,11.72,101559879.0
2017-03-20,12.48,12.49,12.25,12.28,45329650.0,0.0,1.0,12.48,12.49,12.25,12.28,45329650.0
2017-03-17,12.74,12.74,12.45,12.48,54929115.0,0.0,1.0,12.74,12.74,12.45,12.48,54929115.0
2017-03-16,12.65,12.72,12.59,12.7,28954694.0,0.0,1.0,12.65,12.72,12.59,12.7,28954694.0
2017-03-15,12.56,12.65,12.52,12.65,34296197.0,0.0,1.0,12.56,12.65,12.52,12.65,34296197.0
2017-03-14,12.51,12.56,12.45,12.55,26956658.0,0.0,1.0,12.51,12.56,12.45,12.55,26956658.0
2017-03-13,12.56,12.63,12.5,12.54,22625831.0,0.0,1.0,12.56,12.63,12.5,12.54,22625831.0
2017-03-10,12.55,12.63,12.47,12.53,34862876.0,0.0,1.0,12.55,12.63,12.47,12.53,34862876.0
2017-03-09,12.54,12.54,12.4,12.5,29149095.0,0.0,1.0,12.54,12.54,12.4,12.5,29149095.0
2017-03-08,12.5,12.64,12.46,12.53,27327834.0,0.0,1.0,12.5,12.64,12.46,12.53,27327834.0
2017-03-07,12.51,12.525,12.42,12.46,25875059.0,0.0,1.0,12.51,12.525,12.42,12.46,25875059.0
2017-03-06,12.58,12.6,12.5,12.52,28753623.0,0.0,1.0,12.58,12.6,12.5,12.52,28753623.0
2017-03-03,12.66,12.71,12.53,12.65,30493532.0,0.0,1.0,12.66,12.71,12.53,12.65,30493532.0
2017-03-02,12.72,12.745,12.58,12.66,33244226.0,0.0,1.0,12.72,12.745,12.58,12.66,33244226.0
2017-03-01,12.66,12.75,12.65,12.69,36178588.0,0.0,1.0,12.66,12.75,12.65,12.69,36178588.0
2017-02-28,12.63,12.659,12.45,12.53,36086533.0,0.0,1.0,12.63,12.659,12.45,12.53,36086533.0
2017-02-27,12.49,12.68,12.43,12.66,41706811.0,0.0,1.0,12.49,12.68,12.43,12.66,41706811.0
2017-02-24,12.51,12.51,12.38,12.47,40817295.0,0.0,1.0,12.51,12.51,12.38,12.47,40817295.0
2017-02-23,12.7,12.715,12.55,12.56,22520597.0,0.0,1.0,12.7,12.715,12.55,12.56,22520597.0
2017-02-22,12.66,12.765,12.65,12.67,24787512.0,0.0,1.0,12.66,12.765,12.65,12.67,24787512.0
2017-02-21,12.61,12.72,12.61,12.69,29155281.0,0.0,1.0,12.61,12.72,12.61,12.69,29155281.0
2017-02-17,12.5,12.58,12.42,12.58,26401755.0,0.0,1.0,12.5,12.58,12.42,12.58,26401755.0
