RESULT_COUNT: 1601,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-03-30,35.5,35.79,35.315,35.41,8690941.0,0.0,1.0,35.5,35.79,35.315,35.41,8690941.0
2017-03-29,35.62,36.06,35.52,35.54,13884366.0,0.0,1.0,35.62,36.06,35.52,35.54,13884366.0
2017-03-28,34.66,36.25,34.66,35.56,29791419.0,0.0,1.0,34.66,36.25,34.66,35.56,29791419.0
2017-03-27,34.28,34.75,33.97,34.71,12941315.0,0.0,1.0,34.28,34.75,33.97,34.71,12941315.0
2017-03-24,34.4,35.07,34.08,34.56,16255465.0,0.0,1.0,34.4,35.07,34.08,34.56,16255465.0
2017-03-23,34.0,34.4566,33.7901,34.26,14536629.0,0.0,1.0,34.0,34.4566,33.7901,34.26,14536629.0
2017-03-22,34.31,34.61,33.96,34.39,18940396.0,0.0,1.0,34.31,34.61,33.96,34.39,18940396.0
2017-03-21,35.95,35.98,34.47,34.55,30898022.0,0.0,1.0,35.95,35.98,34.47,34.55,30898022.0
2017-03-20,36.36,36.45,35.6,35.71,38504849.0,0.0,1.0,36.36,36.45,35.6,35.71,38504849.0
2017-03-17,37.13,37.16,36.3,36.33,19603616.0,0.0,1.0,37.13,37.16,36.3,36.33,19603616.0
2017-03-16,37.09,37.12,36.77,37.08,12598966.0,0.0,1.0,37.09,37.12,36.77,37.08,12598966.0
2017-03-15,37.07,37.16,36.79,37.09,28089837.0,0.0,1.0,37.07,37.16,36.79,37.09,28089837.0
2017-03-14,36.75,36.965,36.68,36.96,5924349.0,0.0,1.0,36.75,36.965,36.68,36.96,5924349.0
2017-03-13,37.0,37.125,36.83,36.87,10120696.0,0.0,1.0,37.0,37.125,36.83,36.87,10120696.0
2017-03-10,37.1,37.185,36.77,36.83,18652683.0,0.0,1.0,37.1,37.185,36.77,36.83,18652683.0
2017-03-09,37.33,37.35,36.78,36.83,12703571.0,0.0,1.0,37.33,37.35,36.78,36.83,12703571.0
2017-03-08,37.11,37.6865,37.11,37.27,11377291.0,0.38,1.0,37.11,37.6865,37.11,37.27,11377291.0
2017-03-07,37.76,37.84,37.3,37.52,17234957.0,0.0,1.0,37.3788897742364,37.4580823373174,36.9235325365206,37.1413120849934,17234957.0
2017-03-06,37.98,38.55,37.2,37.91,20199145.0,0.0,1.0,37.5966693227092,38.1609163346614,36.8245418326693,37.5273758300133,20199145.0
2017-03-03,37.76,38.37,37.58,38.23,19515749.0,0.0,1.0,37.3788897742364,37.9827330677291,37.2007065073041,37.8441460823373,19515749.0
2017-03-02,37.37,38.1,37.25,37.76,14929759.0,0.0,1.0,36.9928260292165,37.7154581673307,36.874037184595,37.3788897742364,14929759.0
2017-03-01,37.2,37.75,37.18,37.43,10702571.0,0.0,1.0,36.8245418326693,37.3689907038513,36.8047436918991,37.0522204515272,10702571.0
2017-02-28,37.15,37.22,36.55,36.84,10496939.0,0.0,1.0,36.7750464807437,36.8443399734396,36.1811022576361,36.4681752988048,10496939.0
2017-02-27,36.92,37.36,36.86,37.27,10091775.0,0.0,1.0,36.5473678618858,36.9829269588313,36.487973439575,36.8938353253652,10091775.0
2017-02-24,36.87,37.19,36.57,36.9,13059485.0,0.0,1.0,36.4978725099602,36.8146427622842,36.2009003984064,36.5275697211155,13059485.0
2017-02-23,37.94,38.07,37.19,37.25,13179198.0,0.0,1.0,37.5570730411687,37.6857609561753,36.8146427622842,36.874037184595,13179198.0
2017-02-22,37.89,38.105,37.795,37.84,9102733.0,0.0,1.0,37.507577689243,37.7204077025232,37.4135365205843,37.4580823373174,9102733.0
2017-02-21,37.6,38.1,37.42,37.81,14532419.0,0.0,1.0,37.2205046480744,37.7154581673307,37.0423213811421,37.428385126162,14532419.0
2017-02-17,36.79,37.9,36.41,37.22,15777299.0,0.0,1.0,36.4186799468792,37.5174767596282,36.0425152722444,36.8443399734396,15777299.0
2017-02-16,37.11,37.16,36.82,37.03,9369429.0,0.0,1.0,36.7354501992032,36.7849455511288,36.4483771580345,36.6562576361222,9369429.0
2017-02-15,36.95,37.11,36.6,37.08,15674368.0,0.0,1.0,36.5770650730412,36.7354501992032,36.2305976095618,36.7057529880478,15674368.0
2017-02-14,36.72,37.4,36.67,37.24,31399674.0,0.0,1.0,36.3493864541833,37.0225232403718,36.2998911022576,36.8641381142098,31399674.0
2017-02-13,35.38,35.54,35.18,35.52,10141588.0,0.0,1.0,35.0229110225764,35.1812961487384,34.8249296148738,35.1614980079681,10141588.0
