RESULT_COUNT: 9326,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-03-30,30.69,30.69,30.58,30.65,317511.0,0.0,1.0,30.69,30.69,30.58,30.65,317511.0
2017-03-29,30.74,30.845,30.65,30.79,416547.0,0.0,1.0,30.74,30.845,30.65,30.79,416547.0
2017-03-28,30.5,30.86,30.3801,30.81,737345.0,0.0,1.0,30.5,30.86,30.3801,30.81,737345.0
2017-03-27,30.62,30.8301,30.51,30.81,470097.0,0.0,1.0,30.62,30.8301,30.51,30.81,470097.0
2017-03-24,30.72,30.8422,30.675,30.78,448899.0,0.0,1.0,30.72,30.8422,30.675,30.78,448899.0
2017-03-23,30.64,30.86,30.62,30.73,437916.0,0.0,1.0,30.64,30.86,30.62,30.73,437916.0
2017-03-22,30.59,30.65,30.415,30.62,548302.0,0.0,1.0,30.59,30.65,30.415,30.62,548302.0
2017-03-21,31.3,31.44,30.74,30.79,834822.0,0.0,1.0,31.3,31.44,30.74,30.79,834822.0
2017-03-20,31.06,31.18,30.955,30.99,815926.0,0.0,1.0,31.06,31.18,30.955,30.99,815926.0
2017-03-17,31.17,31.19,31.0,31.04,260614.0,0.0,1.0,31.17,31.19,31.0,31.04,260614.0
2017-03-16,31.28,31.35,31.1799,31.19,319915.0,0.0,1.0,31.28,31.35,31.1799,31.19,319915.0
2017-03-15,31.03,31.23,30.98,31.16,452314.0,0.0,1.0,31.03,31.23,30.98,31.16,452314.0
2017-03-14,30.85,30.87,30.7,30.75,361478.0,0.0,1.0,30.85,30.87,30.7,30.75,361478.0
2017-03-13,31.05,31.06,30.915,31.05,631949.0,0.0,1.0,31.05,31.06,30.915,31.05,631949.0
2017-03-10,31.12,31.21,30.95,31.05,467343.0,0.0,1.0,31.12,31.21,30.95,31.05,467343.0
2017-03-09,30.96,31.01,30.86,30.94,425960.0,0.0,1.0,30.96,31.01,30.86,30.94,425960.0
2017-03-08,31.08,31.1,30.93,30.94,582057.0,0.0,1.0,31.08,31.1,30.93,30.94,582057.0
2017-03-07,31.12,31.17,31.04,31.07,548803.0,0.0,1.0,31.12,31.17,31.04,31.07,548803.0
2017-03-06,31.06,31.06,30.86,30.96,475856.0,0.0,1.0,31.06,31.06,30.86,30.96,475856.0
2017-03-03,31.16,31.25,31.07,31.15,436686.0,0.0,1.0,31.16,31.25,31.07,31.15,436686.0
2017-03-02,31.11,31.19,30.98,30.99,386904.0,0.0,1.0,31.11,31.19,30.98,30.99,386904.0
2017-03-01,31.26,31.36,31.26,31.29,483368.0,0.0,1.0,31.26,31.36,31.26,31.29,483368.0
2017-02-28,31.14,31.15,30.9,30.97,384329.0,0.0,1.0,31.14,31.15,30.9,30.97,384329.0
2017-02-27,31.27,31.27,31.15,31.24,702176.0,0.0,1.0,31.27,31.27,31.15,31.24,702176.0
2017-02-24,31.34,31.45,31.325,31.45,981860.0,0.0,1.0,31.34,31.45,31.325,31.45,981860.0
2017-02-23,31.64,31.72,31.575,31.62,1190232.0,0.0,1.0,31.64,31.72,31.575,31.62,1190232.0
2017-02-22,31.74,31.98,31.74,31.86,1725728.0,0.0,1.0,31.74,31.98,31.74,31.86,1725728.0
2017-02-21,31.7,31.87,31.69,31.78,1303302.0,0.0,1.0,31.7,31.87,31.69,31.78,1303302.0
2017-02-17,31.36,31.62,31.28,31.61,594553.0,0.0,1.0,31.36,31.62,31.28,31.61,594553.0
2017-02-16,31.62,31.71,31.465,31.5,1131622.0,0.0,1.0,31.62,31.71,31.465,31.5,1131622.0
2017-02-15,31.7,31.81,31.62,31.79,528508.0,0.0,1.0,31.7,31.81,31.62,31.79,528508.0
2017-02-14,31.76,32.06,31.72,32.01,918027.0,0.0,1.0,31.76,32.06,31.72,32.01,918027.0
2017-02-13,32.02,32.17,32.0,32.13,807448.0,0.0,1.0,32.02,32.17,32.0,32.13,807448.0
2017-02-10,31.55,31.65,31.51,31.57,626509.0,0.0,1.0,31.55,31.65,31.51,31.57,626509.0
2017-02-09,31.2,31.41,31.16,31.33,1114808.0,0.0,1.0,31.2,31.41,31.16,31.33,1114808.0
2017-02-08,31.69,31.75,31.52,31.73,1096710.0,0.0,1.0,31.69,31.75,31.52,31.73,1096710.0
2017-02-07,31.49,31.54,31.31,31.38,1505872.0,0.0,1.0,31.49,31.54,31.31,31.38,1505872.0
2017-02-06,30.95,30.98,30.68,30.87,990340.0,0.0,1.0,30.95,30.98,30.68,30.87,990340.0
2017-02-03,30.92,31.1,30.71,31.06,1040752.0,0.0,1.0,30.92,31.1,30.71,31.06,1040752.0
2017-02-02,30.2,30.25,30.06,30.22,1092774.0,0.0,1.0,30.2,30.25,30.06,30.22,1092774.0
2017-02-01,30.23,30.23,29.89,29.96,981956.0,0.0,1.0,30.23,30.23,29.89,29.96,981956.0
2017-01-31,29.93,29.97,29.45,29.72,939628.0,0.0,1.0,29.93,29.97,29.45,29.72,939628.0
2017-01-30,30.16,30.249,29.77,29.95,1539964.0,0.0,1.0,30.16,30.249,29.77,29.95,1539964.0
2017-01-27,30.46,30.46,30.01,30.08,1190733.0,0.0,1.0,30.46,30.46,30.01,30.08,1190733.0
2017-01-26,30.91,30.97,30.69,30.73,729842.0,0.0,1.0,30.91,30.97,30.69,30.73,729842.0
2017-01-25,30.58,30.84,30.57,30.79,586560.0,0.0,1.0,30.58,30.84,30.57,30.79,586560.0
2017-01-24,30.1,30.35,30.01,30.31,448704.0,0.0,1.0,30.1,30.35,30.01,30.31,448704.0
2017-01-23,30.3,30.39,30.165,30.36,466286.0,0.0,1.0,30.3,30.39,30.165,30.36,466286.0
2017-01-20,30.52,30.614,30.3334,30.44,547601.0,0.0,1.0,30.52,30.614,30.3334,30.44,547601.0
2017-01-19,30.39,30.47,30.16,30.35,467847.0,0.0,1.0,30.39,30.47,30.16,30.35,467847.0
2017-01-18,29.83,29.99,29.74,29.99,612417.0,0.0,1.0,29.83,29.99,29.74,29.99,612417.0
2017-01-17,29.72,29.84,29.61,29.66,770240.0,0.0,1.0,29.72,29.84,29.61,29.66,770240.0
2017-01-13,30.05,30.12,29.99,30.08,427064.0,0.0,1.0,30.05,30.12,29.99,30.08,427064.0
2017-01-12,30.18,30.29,29.81,30.16,737591.0,0.0,1.0,30.18,30.29,29.81,30.16,737591.0
2017-01-11,30.07,30.18,29.9,30.18,809552.0,0.0,1.0,30.07,30.18,29.9,30.18,809552.0
2017-01-10,30.14,30.27,30.02,30.1,849570.0,0.0,1.0,30.14,30.27,30.02,30.1,849570.0
2017-01-09,30.37,30.5,30.3,30.43,585218.0,0.0,1.0,30.37,30.5,30.3,30.43,585218.0
2017-01-06,30.35,30.58,30.24,30.47,493609.0,0.0,1.0,30.35,30.58,30.24,30.47,493609.0
2017-01-05,30.62,30.78,30.58,30.66,482566.0,0.0,1.0,30.62,30.78,30.58,30.66,482566.0
2017-01-04,30.21,30.6725,30.21,30.66,705505.0,0.0,1.0,30.21,30.6725,30.21,30.66,705505.0
2017-01-03,29.48,29.61,29.415,29.61,864545.0,0.0,1.0,29.48,29.61,29.415,29.61,864545.0
2016-12-30,29.2,29.3,29.09,29.19,421389.0,0.0,1.0,29.2,29.3,29.09,29.19,421389.0
2016-12-29,29.42,29.46,29.23,29.28,366035.0,0.0,1.0,29.42,29.46,29.23,29.28,366035.0
2016-12-28,29.8,29.8299,29.56,29.57,322638.0,0.0,1.0,29.8,29.8299,29.56,29.57,322638.0
2016-12-27,29.76,29.96,29.58,29.88,712811.0,0.0,1.0,29.76,29.96,29.58,29.88,712811.0
2016-12-23,30.25,30.27,30.18,30.21,338795.0,0.0,1.0,30.25,30.27,30.18,30.21,338795.0
2016-12-22,30.26,30.33,30.15,30.17,476638.0,0.0,1.0,30.26,30.33,30.15,30.17,476638.0
2016-12-21,30.08,30.08,29.95,30.02,507281.0,0.0,1.0,30.08,30.08,29.95,30.02,507281.0
2016-12-20,30.21,30.31,30.14,30.16,391865.0,0.0,1.0,30.21,30.31,30.14,30.16,391865.0
2016-12-19,30.13,30.29,30.1,30.2,854758.0,0.0,1.0,30.13,30.29,30.1,30.2,854758.0
2016-12-16,30.1,30.22,30.0513,30.13,453736.0,0.0,1.0,30.1,30.22,30.0513,30.13,453736.0
2016-12-15,30.09,30.275,30.09,30.19,501081.0,0.0,1.0,30.09,30.275,30.09,30.19,501081.0
2016-12-14,30.17,30.32,29.975,30.01,781031.0,0.0,1.0,30.17,30.32,29.975,30.01,781031.0
2016-12-13,30.21,30.34,30.11,30.3,651149.0,0.0,1.0,30.21,30.34,30.11,30.3,651149.0
2016-12-12,30.21,30.46,30.1,30.21,1054597.0,0.0,1.0,30.21,30.46,30.1,30.21,1054597.0
2016-12-09,30.34,30.66,30.34,30.63,762236.0,0.0,1.0,30.34,30.66,30.34,30.63,762236.0
2016-12-08,30.25,30.4425,30.21,30.32,608668.0,0.0,1.0,30.25,30.4425,30.21,30.32,608668.0
2016-12-07,29.69,30.07,29.66,30.02,922248.0,0.0,1.0,29.69,30.07,29.66,30.02,922248.0
2016-12-06,29.31,29.58,29.25,29.51,821466.0,0.0,1.0,29.31,29.58,29.25,29.51,821466.0
2016-12-05,29.37,29.54,29.25,29.43,775578.0,0.0,1.0,29.37,29.54,29.25,29.43,775578.0
2016-12-02,29.44,29.58,29.33,29.37,623082.0,0.0,1.0,29.44,29.58,29.33,29.37,623082.0
2016-12-01,29.61,29.865,29.525,29.62,900846.0,0.0,1.0,29.61,29.865,29.525,29.62,900846.0
2016-11-30,29.79,29.8,29.66,29.74,617734.0,0.0,1.0,29.79,29.8,29.66,29.74,617734.0
2016-11-29,29.37,29.54,29.32,29.41,704316.0,0.0,1.0,29.37,29.54,29.32,29.41,704316.0
2016-11-28,29.41,29.44,29.24,29.28,557261.0,0.0,1.0,29.41,29.44,29.24,29.28,557261.0
2016-11-25,29.29,29.41,29.26,29.41,460791.0,0.0,1.0,29.29,29.41,29.26,29.41,460791.0
2016-11-23,28.5,28.7,28.44,28.68,711477.0,0.0,1.0,28.5,28.7,28.44,28.68,711477.0
2016-11-22,28.5,28.555,28.33,28.52,562550.0,0.0,1.0,28.5,28.555,28.33,28.52,562550.0
2016-11-21,28.69,28.77,28.5,28.6,885693.0,0.0,1.0,28.69,28.77,28.5,28.6,885693.0
2016-11-18,28.81,28.81,28.65,28.71,417953.0,0.0,1.0,28.81,28.81,28.65,28.71,417953.0
2016-11-17,28.76,28.95,28.74,28.95,613985.0,0.0,1.0,28.76,28.95,28.74,28.95,613985.0
2016-11-16,28.56,28.59,28.46,28.54,393389.0,0.0,1.0,28.56,28.59,28.46,28.54,393389.0
2016-11-15,28.55,28.64,28.43,28.63,1254202.0,0.0,1.0,28.55,28.64,28.43,28.63,1254202.0
2016-11-14,28.45,28.65,28.38,28.52,549327.0,0.0,1.0,28.45,28.65,28.38,28.52,549327.0
2016-11-11,28.19,28.26,27.96,28.25,396587.0,0.0,1.0,28.19,28.26,27.96,28.25,396587.0
2016-11-10,28.15,28.43,28.005,28.35,698555.0,0.0,1.0,28.15,28.43,28.005,28.35,698555.0
2016-11-09,27.53,28.065,27.51,27.93,1054812.0,0.0,1.0,27.53,28.065,27.51,27.93,1054812.0
2016-11-08,28.28,28.57,28.26,28.43,436728.0,0.0,1.0,28.28,28.57,28.26,28.43,436728.0
2016-11-07,28.16,28.33,28.11,28.31,495699.0,0.0,1.0,28.16,28.33,28.11,28.31,495699.0
2016-11-04,27.79,27.92,27.654,27.71,690334.0,0.0,1.0,27.79,27.92,27.654,27.71,690334.0
2016-11-03,28.5,28.585,28.33,28.39,498955.0,0.0,1.0,28.5,28.585,28.33,28.39,498955.0
2016-11-02,28.65,28.73,28.33,28.38,646205.0,0.0,1.0,28.65,28.73,28.33,28.38,646205.0
2016-11-01,29.4,29.42,28.8,29.03,832298.0,0.0,1.0,29.4,29.42,28.8,29.03,832298.0
2016-10-31,30.25,30.5,29.71,29.83,648839.0,0.0,1.0,30.25,30.5,29.71,29.83,648839.0
2016-10-28,29.87,29.94,29.65,29.82,845756.0,0.0,1.0,29.87,29.94,29.65,29.82,845756.0
2016-10-27,29.93,30.07,29.895,29.95,681005.0,0.0,1.0,29.93,30.07,29.895,29.95,681005.0
