RESULT_COUNT: 6808,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-03-30,43.6,43.98,43.45,43.65,941427.0,0.0,1.0,43.6,43.98,43.45,43.65,941427.0
2017-03-29,43.59,43.755,43.23,43.55,939670.0,0.0,1.0,43.59,43.755,43.23,43.55,939670.0
2017-03-28,43.22,43.91,43.215,43.59,1340901.0,0.0,1.0,43.22,43.91,43.215,43.59,1340901.0
2017-03-27,42.23,43.3,42.09,43.2,1346029.0,0.0,1.0,42.23,43.3,42.09,43.2,1346029.0
2017-03-24,42.51,42.93,42.35,42.66,911584.0,0.0,1.0,42.51,42.93,42.35,42.66,911584.0
2017-03-23,42.42,42.84,42.21,42.51,1081844.0,0.0,1.0,42.42,42.84,42.21,42.51,1081844.0
2017-03-22,42.44,42.791,41.96,42.72,1392362.0,0.0,1.0,42.44,42.791,41.96,42.72,1392362.0
2017-03-21,44.28,44.34,42.4,42.44,1885351.0,0.0,1.0,44.28,44.34,42.4,42.44,1885351.0
2017-03-20,44.01,44.25,43.88,43.93,1226765.0,0.0,1.0,44.01,44.25,43.88,43.93,1226765.0
2017-03-17,44.45,44.67,43.805,44.04,1222508.0,0.0,1.0,44.45,44.67,43.805,44.04,1222508.0
2017-03-16,44.5,44.72,44.37,44.42,850081.0,0.0,1.0,44.5,44.72,44.37,44.42,850081.0
2017-03-15,43.71,44.48,43.6,44.39,1445400.0,0.0,1.0,43.71,44.48,43.6,44.39,1445400.0
2017-03-14,43.02,43.6,42.845,43.51,876347.0,0.0,1.0,43.02,43.6,42.845,43.51,876347.0
2017-03-13,42.83,43.35,42.7,43.21,1042517.0,0.0,1.0,42.83,43.35,42.7,43.21,1042517.0
2017-03-10,42.65,43.05,42.44,42.71,933321.0,0.0,1.0,42.65,43.05,42.44,42.71,933321.0
2017-03-09,42.64,42.805,42.14,42.28,688626.0,0.0,1.0,42.64,42.805,42.14,42.28,688626.0
2017-03-08,42.55,42.94,42.5,42.69,825618.0,0.275,1.0,42.55,42.94,42.5,42.69,825618.0
2017-03-07,42.87,43.2,42.7,42.73,1076122.0,0.0,1.0,42.5956080530664,42.9234958687304,42.4266961480275,42.4565041312696,1076122.0
2017-03-06,43.06,43.14,42.63,42.87,796650.0,0.0,1.0,42.7843919469336,42.863879902246,42.3571441871291,42.5956080530664,796650.0
2017-03-03,43.2,43.52,42.84,43.41,825470.0,0.0,1.0,42.9234958687304,43.2414476899802,42.5658000698243,43.1321517514256,825470.0
2017-03-02,43.3,43.63,43.08,43.2,1076303.0,0.0,1.0,43.0228558128709,43.3507436285349,42.8042639357617,42.9234958687304,1076303.0
