RESULT_COUNT: 10245,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 2,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-03-30,110.0,110.3,109.89,110.06,202811.0,0.0,1.0,110.0,110.3,109.89,110.06,202811.0
2017-03-29,110.26,110.34,110.11,110.25,390370.0,0.0,1.0,110.26,110.34,110.11,110.25,390370.0
2017-03-28,111.9,112.59,111.79,112.41,205363.0,0.0,1.0,111.9,112.59,111.79,112.41,205363.0
2017-03-27,111.03,111.96,110.76,111.73,211671.0,0.0,1.0,111.03,111.96,110.76,111.73,211671.0
2017-03-24,111.11,111.62,110.92,111.36,161695.0,0.0,1.0,111.11,111.62,110.92,111.36,161695.0
2017-03-23,110.55,111.085,110.32,110.51,159938.0,0.0,1.0,110.55,111.085,110.32,110.51,159938.0
2017-03-22,110.89,111.0,110.12,110.83,279319.0,0.0,1.0,110.89,111.0,110.12,110.83,279319.0
2017-03-21,112.69,112.86,111.12,111.39,383127.0,0.0,1.0,112.69,112.86,111.12,111.39,383127.0
2017-03-20,112.26,112.6,111.94,112.0,186605.0,0.0,1.0,112.26,112.6,111.94,112.0,186605.0
2017-03-17,112.64,112.74,112.07,112.21,480458.0,0.0,1.0,112.64,112.74,112.07,112.21,480458.0
2017-03-16,113.71,113.955,113.17,113.24,109377.0,0.0,1.0,113.71,113.955,113.17,113.24,109377.0
2017-03-15,112.63,113.5,112.54,113.24,170519.0,0.0,1.0,112.63,113.5,112.54,113.24,170519.0
2017-03-14,112.48,112.6,112.01,112.09,130639.0,0.0,1.0,112.48,112.6,112.01,112.09,130639.0
2017-03-13,113.37,113.82,113.33,113.4,233720.0,0.0,1.0,113.37,113.82,113.33,113.4,233720.0
2017-03-10,112.84,112.98,112.4,112.66,287381.0,0.0,1.0,112.84,112.98,112.4,112.66,287381.0
2017-03-09,112.11,112.41,111.88,112.19,150598.0,0.0,1.0,112.11,112.41,111.88,112.19,150598.0
2017-03-08,112.55,112.59,111.76,111.8,180393.0,0.0,1.0,112.55,112.59,111.76,111.8,180393.0
2017-03-07,112.69,113.05,112.5,112.65,171605.0,0.0,1.0,112.69,113.05,112.5,112.65,171605.0
2017-03-06,113.14,113.14,112.75,112.91,162049.0,0.0,1.0,113.14,113.14,112.75,112.91,162049.0
2017-03-03,113.27,113.54,113.07,113.34,125840.0,0.0,1.0,113.27,113.54,113.07,113.34,125840.0
2017-03-02,113.59,113.8856,113.16,113.39,252735.0,0.0,1.0,113.59,113.8856,113.16,113.39,252735.0
2017-03-01,114.82,114.98,114.51,114.74,240418.0,0.0,1.0,114.82,114.98,114.51,114.74,240418.0
2017-02-28,113.6,113.6481,112.99,113.15,196015.0,0.0,1.0,113.6,113.6481,112.99,113.15,196015.0
2017-02-27,113.71,114.27,113.67,114.24,180659.0,0.0,1.0,113.71,114.27,113.67,114.24,180659.0
